ID,cluster,full_text,FAVORITE_C,QUOTE_C,REPLY_C,RETWEET_C,VIEWS_C
1755921008869978307,10,"Dit. 👇(A propos. Indien de PS dit feestje wil geven, dat ze het dan ook zelf betalen).",73,0,8,16,1904.0
1759594675994857505,1,"Het probleem zit bij de uitgaven.En neen, niet alleen de pensioenen en de vergrijzing zorgen voor hoge uitgaven. Het probleem zit veel breder en dieper, dat bewijst deze grafiek van @ericdor_econo.U betaalt teveel belastingen. Maar dan nog komt de overheid niet toe. De… https://t.co/otFXdfEGp4",292,3,77,56,19836.0
1755918427791716713,7,"RT @PeterDeRoover1: Gros Franstalige ministers #fedreg quasi Nederlandsonkundig (en zwak Engels).Lahbib, Dedonder, Clarinval, Khattabi, Mi…",0,0,0,144,
1759256249651065146,1,"Allemaal @PSofficiel stemmen zou ik zeggen en vervolgens gewoon 38 uur/week blijven werken. Dankzij de PS stijgt het inkomen zo mooi met 18,75% zonder langere werkweek!(Ongetwijfeld mis ik iets maar het klinkt geweldig.) https://t.co/uZfOTuU50E",210,1,53,30,9210.0
1755660690751172913,7,"RT @mcockhuyt: Al is de communistische leugen nog zo snel, de waarheid achterhaalt haar wel 🤡 https://t.co/ALlEf4Difp",0,0,0,38,
1755658676663206166,0,RT @de_NVA: 'Het compleet onhaalbare klimaatarrest van het Brusselse hof van Beroep zou onze industrie en onze landbouw volledig onderuitha…,0,0,0,31,
1755658415244779801,7,RT @jvanovertveldt: Laat dit even binnenkomen mensen. Het staat er echt. Van het paa(r)dje. Efteling moet paarden uit draaimolens verban…,0,0,0,32,
1755617536736219159,8,"RT @villapolitica: ""Als de minister iets met de pornografische beelden kan ondernemen, dan moet hij dat vooral doen. Alleen vind ik dat de…",0,0,0,5,
1754619280295956547,1,Er is ook gewoonmeer gevangeniscapaciteit nodig. #Vivaldi heeft masterplan voor gevangenissen en psychiatrische centra niet geactualiseerd en in de schuif gestoken. De door VQ beloofde detentiehuizen zijn er vervolgens evenmin gekomen. Niet de enige verbroken belofte van VQ.,24,0,7,3,1004.0
1754178843777089661,7,RT @Zu_Demir: Zuhal Demir (N-VA) bijt van zich af: “Wie heeft aan het handje gelopen van Frans Timmermans? Ik niet” https://t.co/x55JtinneF,0,0,0,35,
1754129888011837900,13,RT @Zu_Demir: Wie liep er de voorbije jaren aan het handje van Frans Timmermans? Niet ik. Telkens was het kot te klein wanneer ik waarschuw…,0,0,0,84,
1754129244467110149,13,RT @Zu_Demir: Ik zie veel electoraal gedrag maar dat helpt de boeren net zoals de voorbije dertig jaar niet vooruit. Beleidsmakers moeten n…,0,0,0,22,
1754111712737829233,5,"RT @PieterBauwens: Volgens Elio Di Rupo investeerde de Generale Maatschappij de Waalse winsten inVlaanderen. Klopt niet, stelt econoom Her…",0,0,0,36,
1759608204424548779,2,TikTok is Chinese spionage en puur vergif voor onze jeugd. Psy-ops om onze jeugd dom te houden/maken. Schandalig dat onze MoD @DedonderLudivin dit zelf promoot. Defensie zou beter moeten weten. Europese Commissie opent onderzoek naar TikTok: app schendt mogelijk regels die…,210,13,109,26,55520.0
1733450500824043714,1,@merelmaes Je zou een punt kunnen hebben.,0,0,0,0,28.0
1729456981075763618,1,@CCRNLL Ik wil het niet weten maar gelukkige verjaardag Lotte!,0,0,0,0,317.0
1727757546729955539,1,"Today, I watched a horror movie. With this difference that it was not a staged play or acted... what we were shown really happened.It was uncensored footage of the 7 October massacre by Hamas.The movie that was actually planned to be shown in parliament, but was eventually… https://t.co/m4ZQmVIkoF",19149,582,2966,7034,1744923.0
1723375341358490067,1,"Een heuse podcast over wie ik ben, mijn passies, en waarom ik aan politiek doe: hij bestaat!Bekijk hem hier: https://t.co/BVHNIndQva https://t.co/kwEXiXyKg2",13,0,4,3,2474.0
1720690389777100857,1,"Helemaal van het padje af. Ziekenhuizen sluiten bedden door gebrek aan personeel. Zwaar problematisch. En ipv dat aan te pakken wordt aan diezelfde ziekenhuizen gevraagd om ook nog eens asielzoekers op te vangen? Kom uit die parallelle wereld, Vivaldihttps://t.co/lmLN4pO80l",1138,22,98,211,129379.0
1720849625840484569,1,@Hind_Al_H In de verste verte niet,3,0,1,0,694.0
1720774852070551770,1,@wjindemans Ik maak geen vergelijking. Ik geef de oorzaak aan waarom bedden leeg staan. Problematisch voor continuïteit van onze zorg. En i.p.v. dat op te lossen of zelfs maar in kaart te brengen wordt aan ziekenhuizen gevraagd of ze geen gangen ter beschikking kunnen stellen voor niet-zorg?,21,0,4,0,1085.0
1693660618060873965,1,@Riadh_B Heerlijk.,1,0,0,0,632.0
